"""Kernel""","""Salinity""","""Census"""
2,HS,50
2,HS,149
2,HS,195
2,HS,50
2,HS,79
2,HS,50
2,HS,52
2,HS,50
2,HS,60
2,HS,59
2,HS,50
2,HS,50
2,HS,126
2,HS,51
2,HS,50
2,HS,144
2,HS,50
2,HS,50
2,HS,50
2,HS,50
2,HS,205
2,HS,104
2,HS,153
2,HS,209
2,HS,54
2,HS,50
2,HS,60
2,HS,50
2,HS,107
2,HS,50
2,HS,63
2,HS,129
2,HS,50
2,HS,50
2,HS,50
2,HS,130
2,HS,50
2,HS,50
2,HS,136
2,HS,179
2,HS,53
2,HS,50
2,HS,60
2,HS,50
2,HS,50
2,HS,62
2,HS,50
2,HS,96
2,HS,50
2,LS,50
2,LS,50
2,LS,74
2,LS,62
2,LS,132
2,LS,50
2,LS,81
2,LS,124
2,LS,57
2,LS,50
2,LS,51
2,LS,80
2,LS,57
2,LS,55
2,LS,55
2,LS,50
2,LS,110
2,LS,50
2,LS,126
2,LS,51
2,LS,50
2,LS,50
2,LS,50
2,LS,90
2,LS,50
2,LS,50
2,LS,52
2,LS,99
2,LS,108
2,LS,55
2,LS,61
2,LS,50
2,LS,112
2,LS,50
2,LS,66
2,LS,54
2,LS,57
2,LS,73
2,LS,50
2,LS,69
2,LS,63
2,LS,50
2,LS,50
2,LS,50
2,LS,83
2,LS,50
2,LS,50
2,LS,50
2,LS,142
3,HS,73
3,HS,143
3,HS,63
3,HS,50
3,HS,50
3,HS,111
3,HS,88
3,HS,75
3,HS,50
3,HS,102
3,HS,59
3,HS,92
3,HS,50
3,HS,74
3,HS,50
3,HS,50
3,HS,197
3,HS,72
3,HS,50
3,HS,50
3,HS,144
3,HS,50
3,HS,50
3,HS,66
3,HS,85
3,HS,82
3,HS,73
3,HS,50
3,HS,57
3,HS,207
3,HS,98
3,HS,56
3,HS,50
3,HS,59
3,HS,183
3,HS,50
3,HS,50
3,HS,50
3,HS,166
3,HS,323
3,HS,66
3,HS,50
3,HS,53
3,HS,72
3,HS,50
3,HS,50
3,HS,50
3,HS,50
3,HS,50
3,LS,50
3,LS,50
3,LS,56
3,LS,171
3,LS,55
3,LS,67
3,LS,103
3,LS,50
3,LS,50
3,LS,50
3,LS,50
3,LS,50
3,LS,58
3,LS,218
3,LS,102
3,LS,50
3,LS,138
3,LS,190
3,LS,50
3,LS,50
3,LS,50
3,LS,102
3,LS,50
3,LS,129
3,LS,50
3,LS,142
3,LS,50
3,LS,58
3,LS,50
3,LS,92
3,LS,50
3,LS,50
3,LS,50
3,LS,91
3,LS,50
3,LS,53
3,LS,50
3,LS,139
3,LS,51
3,LS,50
3,LS,50
3,LS,50
3,LS,204
3,LS,50
3,LS,106
3,LS,61
3,LS,117
3,LS,118
3,LS,56
4,HS,50
4,HS,96
4,HS,112
4,HS,120
4,HS,50
4,HS,50
4,HS,171
4,HS,50
4,HS,50
4,HS,50
4,HS,50
4,HS,50
4,HS,50
4,HS,187
4,HS,50
4,HS,137
4,HS,50
4,HS,103
4,HS,50
4,HS,50
4,HS,93
4,HS,51
4,HS,75
4,HS,50
4,HS,54
4,HS,50
4,HS,166
4,HS,50
4,HS,50
4,HS,50
4,HS,60
4,HS,50
4,HS,50
4,HS,50
4,HS,50
4,HS,50
4,HS,50
4,HS,207
4,HS,158
4,HS,50
4,HS,127
4,HS,125
4,HS,67
4,HS,102
4,HS,50
4,HS,50
4,HS,90
4,HS,65
4,HS,50
4,LS,52
4,LS,50
4,LS,55
4,LS,50
4,LS,113
4,LS,86
4,LS,50
4,LS,50
4,LS,50
4,LS,50
4,LS,60
4,LS,51
4,LS,83
4,LS,50
4,LS,50
4,LS,92
4,LS,52
4,LS,79
4,LS,50
4,LS,50
4,LS,106
4,LS,92
4,LS,50
4,LS,51
4,LS,57
4,LS,74
4,LS,50
4,LS,106
4,LS,59
4,LS,57
4,LS,57
4,LS,57
4,LS,123
4,LS,76
4,LS,205
4,LS,50
4,LS,50
4,LS,50
4,LS,50
4,LS,80
4,LS,93
4,LS,52
4,LS,147
4,LS,66
4,LS,50
4,LS,50
4,LS,50
4,LS,50
4,LS,85
